file,numparticles,numcollsions,avgfps,avgcpums,avgcms,avggms,minfps,mincpums,mincms,mingms,maxfps,maxcpums,maxcms,maxgms,maxspf,minspf,avgspf,maxmmrr,minmmrr,avgmmrr,maxarr,minarr,avgarr
../../../../FPIBGDATA/perfdataPCD/0000CollisionDataSet443392X0X21.tst,443392,0,12.7258,0.0761107,0.074043,0.00160509,12,0.0714286,0.0746899,0.00159322,14,0.0833333,0.0761401,0.00168483,0.0833333,0.0714286,0.0785805,0.000107608,7.18391e-05,7.75357e-05,0.00129129,0.00100575,0.000986704
../../../../FPIBGDATA/perfdataPCD/0001CollisionDataSet443392X27712X21.tst,443392,27712,12.7258,0.0761107,0.0739733,0.00160581,12,0.0714286,0.0746876,0.00158253,14,0.0833333,0.0768031,0.00166742,0.0833333,0.0714286,0.0785805,0.000107608,7.18391e-05,7.75357e-05,0.00129129,0.00100575,0.000986704
../../../../FPIBGDATA/perfdataPCD/0002CollisionDataSet443392X55424X21.tst,443392,55424,12.7258,0.0761107,0.0739549,0.00160858,12,0.0714286,0.0746836,0.00160048,14,0.0833333,0.0758276,0.00166637,0.0833333,0.0714286,0.0785805,0.000107608,7.18391e-05,7.75357e-05,0.00129129,0.00100575,0.000986704
../../../../FPIBGDATA/perfdataPCD/0003CollisionDataSet443392X69280X21.tst,443392,69280,12.7258,0.0761107,0.0739963,0.00160834,12,0.0714286,0.0746907,0.00160266,14,0.0833333,0.0758497,0.00166045,0.0833333,0.0714286,0.0785805,0.000107608,7.18391e-05,7.75357e-05,0.00129129,0.00100575,0.000986704
../../../../FPIBGDATA/perfdataPCD/0004CollisionDataSet443392X96992X21.tst,443392,96992,12.7258,0.0761107,0.074034,0.00160379,12,0.0714286,0.0744576,0.00159354,14,0.0833333,0.075831,0.00166944,0.0833333,0.0714286,0.0785805,0.000107608,7.18391e-05,7.75357e-05,0.00129129,0.00100575,0.000986704
../../../../FPIBGDATA/perfdataPCD/0005CollisionDataSet443392X110848X21.tst,443392,110848,12.7097,0.0762141,0.0739788,0.00160441,12,0.0714286,0.0746828,0.0015927,14,0.0833333,0.0758271,0.00168237,0.0833333,0.0714286,0.0786802,0.000107608,7.18391e-05,7.75357e-05,0.00129129,0.00100575,0.000985453
../../../../FPIBGDATA/perfdataPCD/0006CollisionDataSet443392X138560X21.tst,443392,138560,12.7258,0.0761107,0.0739404,0.00160893,12,0.0714286,0.0746804,0.00159389,14,0.0833333,0.0760312,0.00166515,0.0833333,0.0714286,0.0785805,0.000107608,7.18391e-05,7.75357e-05,0.00129129,0.00100575,0.000986704
../../../../FPIBGDATA/perfdataPCD/0007CollisionDataSet443392X166272X21.tst,443392,166272,12.7258,0.0761107,0.0739115,0.00160752,12,0.0714286,0.0746804,0.00158666,14,0.0833333,0.0758166,0.00166362,0.0833333,0.0714286,0.0785805,0.000107608,7.18391e-05,7.75357e-05,0.00129129,0.00100575,0.000986704
../../../../FPIBGDATA/perfdataPCD/0008CollisionDataSet443392X180128X21.tst,443392,180128,12.7258,0.0761107,0.0739204,0.00160398,12,0.0714286,0.0746947,0.00158442,14,0.0833333,0.0758415,0.00165923,0.0833333,0.0714286,0.0785805,0.000107608,7.18391e-05,7.75357e-05,0.00129129,0.00100575,0.000986704
../../../../FPIBGDATA/perfdataPCD/0009CollisionDataSet443392X207840X21.tst,443392,207840,12.7258,0.0761107,0.0739388,0.00160625,12,0.0714286,0.0746982,0.00159866,14,0.0833333,0.0758314,0.00166829,0.0833333,0.0714286,0.0785805,0.000107608,7.18391e-05,7.75357e-05,0.00129129,0.00100575,0.000986704
../../../../FPIBGDATA/perfdataPCD/0010CollisionDataSet443392X221696X21.tst,443392,221696,12.7258,0.0761107,0.0739736,0.0016065,12,0.0714286,0.0746929,0.00158592,14,0.0833333,0.0760804,0.00166685,0.0833333,0.0714286,0.0785805,0.000107608,7.18391e-05,7.75357e-05,0.00129129,0.00100575,0.000986704
../../../../FPIBGDATA/perfdataPCD/0011CollisionDataSet443392X249408X21.tst,443392,249408,12.7258,0.0761107,0.073918,0.00160566,12,0.0714286,0.0746791,0.00159104,14,0.0833333,0.0758315,0.00166493,0.0833333,0.0714286,0.0785805,0.000107608,7.18391e-05,7.75357e-05,0.00129129,0.00100575,0.000986704
../../../../FPIBGDATA/perfdataPCD/0012CollisionDataSet443392X277120X21.tst,443392,277120,12.7258,0.0761107,0.073925,0.00160797,12,0.0714286,0.0746779,0.00159354,14,0.0833333,0.0757753,0.00166077,0.0833333,0.0714286,0.0785805,0.000107608,7.18391e-05,7.75357e-05,0.00129129,0.00100575,0.000986704
../../../../FPIBGDATA/perfdataPCD/0013CollisionDataSet443392X290976X21.tst,443392,290976,12.7258,0.0761107,0.0739137,0.00160655,12,0.0714286,0.0746877,0.00158733,14,0.0833333,0.076033,0.0016681,0.0833333,0.0714286,0.0785805,0.000107608,7.18391e-05,7.75357e-05,0.00129129,0.00100575,0.000986704
../../../../FPIBGDATA/perfdataPCD/0014CollisionDataSet443392X318688X21.tst,443392,318688,12.7258,0.0761107,0.0738889,0.00160587,12,0.0714286,0.074691,0.00157952,14,0.0833333,0.0758793,0.0016575,0.0833333,0.0714286,0.0785805,0.000107608,7.18391e-05,7.75357e-05,0.00129129,0.00100575,0.000986704
../../../../FPIBGDATA/perfdataPCD/0015CollisionDataSet443392X332544X21.tst,443392,332544,12.7258,0.0761107,0.0738913,0.00160718,12,0.0714286,0.0746816,0.00159725,14,0.0833333,0.0758577,0.00166886,0.0833333,0.0714286,0.0785805,0.000107608,7.18391e-05,7.75357e-05,0.00129129,0.00100575,0.000986704
../../../../FPIBGDATA/perfdataPCD/0016CollisionDataSet443392X360256X21.tst,443392,360256,12.7097,0.0762141,0.0739955,0.00160777,12,0.0714286,0.0746974,0.00160051,14,0.0833333,0.075828,0.00166749,0.0833333,0.0714286,0.0786802,0.000107608,7.18391e-05,7.75357e-05,0.00129129,0.00100575,0.000985453
../../../../FPIBGDATA/perfdataPCD/0017CollisionDataSet443392X387968X21.tst,443392,387968,12.7258,0.0761107,0.0740136,0.00160618,12,0.0714286,0.0746907,0.00158602,14,0.0833333,0.0758193,0.00167107,0.0833333,0.0714286,0.0785805,0.000107608,7.18391e-05,7.75357e-05,0.00129129,0.00100575,0.000986704
../../../../FPIBGDATA/perfdataPCD/0018CollisionDataSet443392X401824X21.tst,443392,401824,12.7258,0.0761107,0.0739644,0.00160504,12,0.0714286,0.074684,0.00159728,14,0.0833333,0.0758112,0.00167088,0.0833333,0.0714286,0.0785805,0.000107608,7.18391e-05,7.75357e-05,0.00129129,0.00100575,0.000986704
../../../../FPIBGDATA/perfdataPCD/0019CollisionDataSet443392X429536X21.tst,443392,429536,12.7097,0.0762141,0.0739395,0.00160816,12,0.0714286,0.0746875,0.00158941,14,0.0833333,0.0760394,0.00167734,0.0833333,0.0714286,0.0786802,0.000107608,7.18391e-05,7.75357e-05,0.00129129,0.00100575,0.000985453
../../../../FPIBGDATA/perfdataPCD/0020CollisionDataSet443392X443392X21.tst,443392,443392,12.7258,0.0761107,0.0739193,0.00160675,12,0.0714286,0.0746814,0.00159424,14,0.0833333,0.0758692,0.0016647,0.0833333,0.0714286,0.0785805,0.000107608,7.18391e-05,7.75357e-05,0.00129129,0.00100575,0.000986704
